domain,product_title,canonical_url,public_product_id,public_variant_id,public_offer_id,public_sku_id,category,strength_size_options,current_price,compare_at_list_price,currency,stock_status,backorder,min_purchase,max_purchase,exact_public_quantity,is_retatrutide,source_url,extraction_method,captured_at,confidence,caveat
adaptpeptides.com,10 ml Reconstitution Medium,https://adaptpeptides.com/product/10-ml-reconstitution-medium/?attribute_quantity=1+Bottle,10626,10627,,BAC-10,Research Accessories | Reconstitution Solution,Quantity: 1 Bottle,11.5,11.5,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,10 ml Reconstitution Medium,https://adaptpeptides.com/product/10-ml-reconstitution-medium/?attribute_quantity=10+x+Pack,10626,10700,,BAC-10-10,Research Accessories | Reconstitution Solution,Quantity: 10 x Pack,89.95,89.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,10 ml Reconstitution Medium,https://adaptpeptides.com/product/10-ml-reconstitution-medium/?attribute_quantity=3+x+Pack,10626,10698,,BAC-10-3,Research Accessories | Reconstitution Solution,Quantity: 3 x Pack,29.95,29.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,10 ml Reconstitution Medium,https://adaptpeptides.com/product/10-ml-reconstitution-medium/?attribute_quantity=5+x+Pack,10626,10699,,BAC-10-5,Research Accessories | Reconstitution Solution,Quantity: 5 x Pack,47.95,47.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,10 x Insulin Syringes,https://adaptpeptides.com/?post_type=product&p=10636&attribute_syringe-size=.5cc+30Gx+5%2F16,10636,10654,,MST-SYR-05,,Syringe Size: .5cc 30Gx 5/16,7.5,9.95,USD,out_of_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,woocommerce_store_api_orphan_variation,2026-07-28T01:57:22.714Z,medium,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Category inherited from the public parent product record. | This variation is publicly exposed by the fully paginated WooCommerce variation feed, but its parent is absent from the current public parent-product feed. It may be stale or orphaned and is excluded from product counts."
adaptpeptides.com,10 x Insulin Syringes,https://adaptpeptides.com/?post_type=product&p=10636&attribute_syringe-size=1cc+31Gx+5%2F16,10636,10655,,MST-SYR-10,,Syringe Size: 1cc 31Gx 5/16,7.5,9.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,woocommerce_store_api_orphan_variation,2026-07-28T01:57:22.714Z,medium,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | This variation is publicly exposed by the fully paginated WooCommerce variation feed, but its parent is absent from the current public parent-product feed. It may be stale or orphaned and is excluded from product counts."
adaptpeptides.com,10ml bacteriostatic Reconstitution Kit,https://adaptpeptides.com/product/10ml-bacteriostatic-reconstitution-kit/?attribute_syringe-size=.5cc+30Gx+5%2F16,10634,10650,,KIT-BSC-10-05,Reconstitution Kits,Syringe Size: .5cc 30Gx 5/16,24.95,28.95,USD,out_of_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Category inherited from the public parent product record."
adaptpeptides.com,10ml bacteriostatic Reconstitution Kit,https://adaptpeptides.com/product/10ml-bacteriostatic-reconstitution-kit/?attribute_syringe-size=1cc+31Gx+5%2F16,10634,10651,,KIT-BSC-10-10,Reconstitution Kits,Syringe Size: 1cc 31Gx 5/16,24.95,28.95,USD,in_stock,no,1,196,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,30 ml Reconstitution Medium,https://adaptpeptides.com/product/30-ml-reconstitution-medium/?attribute_quantity=1+Bottle,10702,10703,,BAC-GEN-30,Research Accessories | Reconstitution Solution,Quantity: 1 Bottle,19.95,19.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,30 ml Reconstitution Medium,https://adaptpeptides.com/product/30-ml-reconstitution-medium/?attribute_quantity=10+x+Pack,10702,10706,,BAC-GEN-30-10,Research Accessories | Reconstitution Solution,Quantity: 10 x Pack,149.95,149.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
