domain,cohort,main_company_addition,market_scope,storefront_url,domain_created,domain_age_days,domain_age_source,rank_observations,latest_rank,latest_rank_date,rank_freshness_days,rank_source,traffic_basis_visits_model,current_monthly_visits_model,trailing30_visits_model,traffic_confidence,external_panel_minimum,external_panel_maximum,external_public_panels,cvr_low_assumption,cvr_base_assumption,cvr_high_assumption,aov_low_assumption,aov_base_assumption,aov_high_assumption,orders_base_model,gmv_low_model,gmv_base_model,gmv_high_model,commercial_caveat,catalog_coverage,catalog_refresh_mode,catalog_captured_at,catalog_confidence,catalog_extraction_methods,product_count,variant_offer_count,priced_offer_count,price_min,price_median,price_max,currency,reta_product_count,reta_variant_offer_count,visible_stock_records,visible_in_stock_rate,exact_quantity_records,catalog_caveat,ui_overall,ui_visual_polish,ui_mobile_usability,ui_product_clarity,ui_trust_presentation,ui_conversion_ux,ui_performance,ui_access_status,ui_confidence,ui_findings,ui_strongest_lesson,ui_biggest_failure,ui_scored_url,model_boundary
simplepeptide.com,C,false,,https://simplepeptide.com/,2023-12-19,950,https://rdap.verisign.com/com/v1/domain/simplepeptide.com,30,241591,,,https://rank.to/api/?d=simplepeptide.com&n=30,258965,200451,258965,low-medium,273570,273570,Semrush | 273570 | June 2026 | https://www.semrush.com/website/simplepeptide.com/overview/,1%,2%,3%,135,195,255,5179,349603,1009964,1981082,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:41:14.037Z,high,woocommerce_store_api_variation_collection | woocommerce_store_api_product,138,163,162,1,75,1695,USD,3,7,163,0.9264,0,"Public Store API reported 138 catalog products; 138 unique parent products were captured. No exact warehouse quantities were publicly exposed. 1 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",6.5,7.5,8,5.5,6.5,6.5,4,storefront-fallback,medium,"The public storefront loaded, but the screenshot did not expose a direct Reta product path. | Visible first-screen trust proof was limited in the captured viewport. | Average screenshot-capture time was 6445ms; the documented performance proxy scored 4/10.",,,https://simplepeptide.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
aminoclub.com,A,false,,https://www.aminoclub.com/age-verify?return=%2F,2019-05-12,2633,https://rdap.verisign.com/com/v1/domain/AMINOCLUB.COM,30,335171,,,https://rank.to/api/?d=aminoclub.com&n=30,133980,142139,133980,low-medium,,,,1%,2%,3%,100,175,250,2680,133980,468930,1004850,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Price clues are raw values parsed from a public page and may include variants/catalog/promotions",gated_or_account_walled_unknown,archived,2026-07-28T01:57:22.714Z,unknown,,0,0,0,,,,,0,0,0,,0,"access gate or account wall | products.json returned HTTP 200 or non-catalog content | HTTP 200; expected a JSON array | No parseable public product offers found. | Prior UI state: researcher-verification-gate. | No gate was accepted, no account was created, and no inventory was inferred. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,researcher-verification-gate,,The only public state is a polished researcher-verification screen. | It requires two affirmative checkboxes before entry. | No attestation was made.,"Verification can be concise, legible, and responsive without looking improvised.",No public product detail is available for comparison.,https://www.aminoclub.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
swisschems.is,C,false,,https://swisschems.is/,2020-06-25,2222,https://rdap.isnic.is/rdap/domain/swisschems.is,30,364398,,,https://rank.to/api/?d=swisschems.is&n=30,133894,130193,133894,low-medium,276970,276970,Semrush | 276970 | June 2026 | https://www.semrush.com/website/swisschems.is/overview/?source=trending-websites,1%,2%,3%,90,130,170,2678,120505,348124,682859,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:53:31.092Z,high,woocommerce_store_api_product | woocommerce_store_api_variation_collection | woocommerce_store_api_orphan_variation,145,237,220,3.95,65.95,2661.86,USD,1,8,237,0.8143,171,"Public Store API reported 145 catalog products; 145 unique parent products were captured. The source also exposes two distinct Customs Invoice variant IDs with the same option/SKU but different prices; both are retained. 15 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 17 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",6.8,8.5,8,6.5,7,6.5,2.5,storefront-fallback,medium,"The public storefront loaded, but the screenshot did not expose a direct Reta product path. | Testing, review, purity, or shipping trust cues were visible in the captured viewport. | Average screenshot-capture time was 9350ms; the documented performance proxy scored 2.5/10.",,,https://swisschems.is/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
biolongevitylabs.com,A,false,,https://biolongevitylabs.com/product-category/peptides/,2024-06-13,774,https://rdap.verisign.com/com/v1/domain/BIOLONGEVITYLABS.COM,30,387678,,,https://rank.to/api/?d=biolongevitylabs.com&n=30,118121,121997,118121,low-medium,720,720,HypeStat | 720 | public panel checked July 2026 | https://hypestat.com/info/biolongevitylabs.com,1%,2%,3%,100,175,250,2362,118121,413424,885907,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Price clues are raw values parsed from a public page and may include variants/catalog/promotions",complete_public_woo_api,archived,2026-07-28T01:57:22.714Z,high,WooCommerce Store API | woocommerce_store_api_orphan_variation,82,239,206,9.99,165,28764,USD,0,0,239,0.6402,0,"No exact public inventory quantity is exposed; quantity sum is blank. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,blank,,Both captured viewports were empty white pages. | No current public product state could be inspected.,A fail-safe access page should explain whether the store is gated or unavailable.,The public category route silently renders blank.,https://biolongevitylabs.com/product-category/peptides/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
limitlesslifenootropics.com,B,false,,https://limitlesslifenootropics.com/,2015-06-09,4066,https://rdap.org/domain/limitlesslifenootropics.com,30,444693,,,https://rank.to/api/?d=limitlesslifenootropics.com&n=30,116388,105628,116388,low-medium,,,,1%,2%,3%,100,175,250,2328,116388,407358,872910,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS.",gated_or_account_walled_unknown,archived,2026-07-28T01:57:24.110Z,unknown,,0,0,0,,,,,0,0,0,,0,"access gate or account wall | 91 product pages gated | products.json returned HTTP 404 or non-catalog content | HTTP 404; expected a JSON array | No parseable public product offers found. | Prior UI state: age-or-research-gate. | No gate was accepted, no account was created, and no inventory was inferred. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",5.5,6,8,4.5,8,3.5,3,age-or-research-gate,medium,An uncrossed age or research-eligibility gate covered the first-load product experience. | The gate fit the 390px viewport without horizontal overflow. | The first-load gate had limited visual hierarchy or incomplete presentation.,,,https://limitlesslifenootropics.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
ionpeptide.com,main-company-gap,true,active-us-facing,https://ionpeptide.com/,2025-08-11,351,https://rdap.verisign.com/com/v1/domain/IONPEPTIDE.COM,30,375887,2026-07-27,1,https://rank.to/api/?d=ionpeptide.com&n=30,116062,126018,116062,low-medium,,,,1%,2%,3%,100,175,250,2321,116062,406217,870465,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Thirty-day rank observations were converted to an order-of-magnitude monthly-visit model. This is not analytics, measured traffic, revenue, or profit.",complete_public_woo_store_api,live,2026-07-28T20:43:44.412Z,high,WooCommerce Store API variation | WooCommerce Store API,120,175,174,7,52.48,219,USD,2,9,175,0.7314,5,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,,,,,,,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
corepeptides.com,A,false,,https://www.corepeptides.com/,2019-10-13,2479,https://rdap.verisign.com/com/v1/domain/COREPEPTIDES.COM,30,417483,,,https://rank.to/api/?d=corepeptides.com&n=30,115885,112868,115885,low-medium,29018,131629,Similarweb via HypeStat | 29018 | public panel checked July 2026 | https://hypestat.com/info/corepeptides.com || Semrush via HypeStat | 131629 | public panel checked July 2026 | https://hypestat.com/info/corepeptides.com || HypeStat | 29906 | public panel checked July 2026 | https://hypestat.com/info/corepeptides.com,1%,2%,3%,100,175,250,2318,115885,405598,869137,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Price clues are raw values parsed from a public page and may include variants/catalog/promotions",complete_public_woo_api,archived,2026-07-28T01:57:22.714Z,high,WooCommerce Store API | woocommerce_store_api_orphan_variation,104,118,118,20,79.5,315,USD,1,2,118,0.9576,0,"No exact public inventory quantity is exposed; quantity sum is blank. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",6.67,8,8,5.5,4.5,6.5,7.5,reachable-home-no-reta-pdp,,The hero is visually coherent and responsive with a clear buy action. | Shipping and support benefits are easy to scan. | No public retatrutide PDP or batch-specific testing evidence was found.,"A compact benefits row can answer the first shipping, quality, and support questions quickly.",The strongest quality claim is generic and not tied to a visible product or lot.,https://www.corepeptides.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
biotechpeptides.com,main-company-gap,true,active-us-facing,https://biotechpeptides.com/,2020-01-31,2370,https://rdap.verisign.com/com/v1/domain/BIOTECHPEPTIDES.COM,30,442019,2026-07-27,1,https://rank.to/api/?d=biotechpeptides.com&n=30,114001,106299,114001,low-medium,,,,1%,2%,3%,100,175,250,2280,114001,399004,855007,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Thirty-day rank observations were converted to an order-of-magnitude monthly-visit model. This is not analytics, measured traffic, revenue, or profit.",complete_public_woo_store_api,live,2026-07-28T20:43:44.412Z,high,WooCommerce Store API | WooCommerce Store API variation,91,98,98,16,82.5,320,USD,0,0,98,0.9592,0,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,,,,,,,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
verifiedpeptides.com,main-company-gap,true,active-us-facing,https://verifiedpeptides.com/,2019-10-12,2481,https://rdap.verisign.com/com/v1/domain/VERIFIEDPEPTIDES.COM,30,431091,2026-07-27,1,https://rank.to/api/?d=verifiedpeptides.com&n=30,111003,109130,111003,low-medium,97600,97600,HypeStat | 97600 | public panel checked July 2026 | https://hypestat.com/info/verifiedpeptides.com,1%,2%,3%,100,175,250,2220,111003,388511,832522,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Thirty-day rank observations were converted to an order-of-magnitude monthly-visit model. This is not analytics, measured traffic, revenue, or profit.",complete_public_woo_store_api,live,2026-07-28T20:43:44.412Z,high,WooCommerce Store API | WooCommerce Store API variation,64,67,67,28,62.1,220,USD,0,0,67,0.7313,0,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,,,,,,,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
certified-pep.com,main-company-gap,true,active-us-facing,https://certified-pep.com/,2024-12-14,591,https://rdap.verisign.com/com/v1/domain/CERTIFIED-PEP.COM,30,451846,2026-07-27,1,https://rank.to/api/?d=certified-pep.com&n=30,104034,103873,104034,low-medium,,,,1%,2%,3%,100,175,250,2081,104034,364119,780255,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Thirty-day rank observations were converted to an order-of-magnitude monthly-visit model. This is not analytics, measured traffic, revenue, or profit.",complete_public_woo_store_api,live,2026-07-28T20:43:44.412Z,high,WooCommerce Store API,84,84,84,41,105,270,USD,5,5,84,0.9524,1,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,,,,,,,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
