domain,product_count,variant_count,price_min,price_median,price_max,currency,visible_stock_records,visible_in_stock_rate,exact_quantity_records,exact_quantity_sum,reta_product_count,reta_options_prices,coverage,extraction_methods,source_urls,captured_at,confidence,caveat
northlinelabs.org,43,69,19.99,99.99,439.99,USD,69,1,0,,1,Reta GLP-3 – Premium Research Peptide [Size: 50mg]: USD 299.99 | Reta GLP-3 – Premium Research Peptide [Size: 30mg]: USD 189.99 | Reta GLP-3 – Premium Research Peptide [Size: 20mg]: USD 129.99 | Reta GLP-3 – Premium Research Peptide [Size: 15mg]: USD 99.99 | Reta GLP-3 – Premium Research Peptide [Size: 10mg]: USD 79.99,complete_public_woo_store_api,WooCommerce Store API | WooCommerce Store API variation,https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1 | https://northlinelabs.org/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T20:43:44.412Z,high,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used."
bluumpeptides.com,46,75,15,65,469,USD,75,0.9333,0,,1,Retatrutide [10mg]: USD 125 | Retatrutide [15mg]: USD 159 | Retatrutide [20mg]: USD 199 | Retatrutide [30mg]: USD 279 | Retatrutide [60mg]: USD 469,complete_public_shopify_feed,Shopify public products feed,https://bluumpeptides.com/products.json?limit=250&page=1,2026-07-28T20:43:44.412Z,high,"Anonymous public Shopify product feed was paginated until empty. No account, gate, cart, or transaction was used."
ameanopeptides.com,78,81,4.99,53,215,USD,81,0.9506,0,,1,Reta/Cagri Blend – 12.5mg/2.5mg: USD 135,complete_public_woo_store_api,WooCommerce Store API | WooCommerce Store API variation,https://ameanopeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://ameanopeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T20:43:44.412Z,high,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used."
nexaph.com,53,64,116,198,828,USD,64,0.9375,0,,0,,complete_public_woo_store_api,WooCommerce Store API | WooCommerce Store API variation,https://nexaph.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://nexaph.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T20:43:44.412Z,high,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used."
ionpeptide.com,120,175,7,52.48,219,USD,175,0.7314,5,63,0,,complete_public_woo_store_api,WooCommerce Store API | WooCommerce Store API variation,https://ionpeptide.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://ionpeptide.com/wp-json/wc/store/v1/products?per_page=100&page=2 | https://ionpeptide.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T20:43:44.412Z,high,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used."
verifiedpeptides.com,64,67,28,62.1,220,USD,67,0.7313,0,,0,,complete_public_woo_store_api,WooCommerce Store API | WooCommerce Store API variation,https://verifiedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://verifiedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T20:43:44.412Z,high,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used."
primelabpeptides.com,41,41,12.5,85,1300,USD,41,0.9512,0,,6,Retatrutide – 6mg (10 Vials): USD 592.5 | Retatrutide – 24mg (10 Vials): USD 1300 | Retatrutide – 12mg (10 Vials): USD 875 | Retatrutide – 24mg: USD 195 | Retatrutide – 12mg: USD 150 | Retatrutide – 6mg: USD 90,complete_public_shopify_feed,Shopify public products feed,https://primelabpeptides.com/products.json?limit=250&page=1,2026-07-28T20:43:44.412Z,high,"Anonymous public Shopify product feed was paginated until empty. No account, gate, cart, or transaction was used."
modernaminos.com,156,220,4.99,59.5,279.2,USD,220,0.8364,0,,0,,complete_public_woo_store_api,WooCommerce Store API | WooCommerce Store API variation,https://modernaminos.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://modernaminos.com/wp-json/wc/store/v1/products?per_page=100&page=2 | https://modernaminos.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://modernaminos.com/wp-json/wc/store/v1/products?per_page=100&page=2&type=variation,2026-07-28T20:43:44.412Z,high,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used."
peptidecrafters.com,76,76,12.99,65,355,USD,76,0.9079,0,,6,GLP-3 (R) 60mg – Standard Size Vial: USD 320 | GLP-3 (R) 65mg in large 8mL Capacity Vial: USD 355 | GLP-3 (R) 30mg: USD 205 | GLP-3 (R) 20mg: USD 160 | GLP-3 (R) 10mg: USD 80 | GLP-3 (R) 15mg (Tested @ 20mg) – SALE: USD 120,complete_public_woo_store_api,WooCommerce Store API,https://peptidecrafters.com/wp-json/wc/store/v1/products?per_page=100&page=1,2026-07-28T20:43:44.412Z,high,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used."
directpeptides.com,1,1,139,139,139,USD,0,,0,,1,DP3-R [5mg / 10mg / 15mg / 30mg; single vial or 10-pack]: USD 139,partial_public_first_party_pages,Anonymous public first-party product page,https://directpeptides.com/products/dp3-r,2026-07-28T19:27:08.058Z,medium,"This is a bounded first-party page snapshot captured July 28, 2026, not a live feed or complete catalog enumeration. No account, gate, cart, or transaction was used."
