domain,product_count,variant_count,price_min,price_median,price_max,currency,visible_stock_records,visible_in_stock_rate,exact_quantity_records,exact_quantity_sum,reta_product_count,reta_options_prices,coverage,extraction_methods,source_urls,captured_at,confidence,caveat
adaptpeptides.com,25,62,7.5,65,385.9,USD,62,0.8065,2,5,1,Retatrutide [Size:: 30 mg]: USD 299 | Retatrutide [Size:: 20 mg]: USD 220 | Retatrutide [Size:: 15 mg]: USD 180 | Retatrutide [Size:: 10 mg]: USD 135 | Retatrutide [Size:: 5 mg]: USD 89 | GLP3-R [Size:: 20 mg]: USD 220 | GLP3-R [Size:: 15 mg]: USD 180 | GLP3-R [Size:: 10 mg]: USD 135 | GLP3-R [Size:: 5 mg]: USD 90,complete_public_woo_api,WooCommerce Store API | woocommerce_store_api_orphan_variation,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://adaptpeptides.com/ | https://adaptpeptides.com/products.json?limit=250&page=1,2026-07-28T01:57:22.714Z,high,Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
advancedresearchpep.com,,,,,,,,,,,0,,gated_or_account_walled_unknown,Anonymous public GET probes,https://advancedresearchpep.com/ | https://advancedresearchpep.com/products.json?limit=250&page=1 | https://advancedresearchpep.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://advancedresearchpep.com/sitemap.xml | https://advancedresearchpep.com/product-sitemap.xml | https://advancedresearchpep.com/wp-sitemap-posts-product-1.xml | https://advancedresearchpep.com/xmlsitemap.php | https://advancedresearchpep.com/product/retatrutide/,2026-07-28T01:57:22.714Z,unknown,"products.json returned HTTP 202 or non-catalog content | HTTP 202; expected a JSON array | No parseable public product offers found. | Prior UI state: security-challenge. | No gate was accepted, no account was created, and no inventory was inferred."
agelessvitalitypeptides.com,22,24,15,59.5,139,USD,24,1,0,,1,GLP3-R (Reta) [Vial Strength: 20mg]: USD 139 | GLP3-R (Reta) [Vial Strength: 10mg]: USD 99,complete_public_woo_api,WooCommerce Store API,https://agelessvitalitypeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://agelessvitalitypeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://agelessvitalitypeptides.com/ | https://agelessvitalitypeptides.com/products.json?limit=250&page=1,2026-07-28T01:57:22.714Z,high,No exact public inventory quantity is exposed; quantity sum is blank.
alphacarbonlabs.com,,,,,,,,,,,0,,public_catalog_unresolved_unknown,Anonymous public GET probes,https://alphacarbonlabs.com/ | https://alphacarbonlabs.com/products.json?limit=250&page=1 | https://alphacarbonlabs.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://alphacarbonlabs.com/sitemap.xml | https://alphacarbonlabs.com/product-sitemap.xml | https://alphacarbonlabs.com/wp-sitemap-posts-product-1.xml | https://empzjramneluxsmsoluu.supabase.co/functions/v1/generate-sitemap | https://alphacarbonlabs.com/product/bpc-157-tb-500-blend | https://alphacarbonlabs.com/product/semaglutide | https://alphacarbonlabs.com/product/ipamorelin | https://alphacarbonlabs.com/product/tirzepatide | https://alphacarbonlabs.com/product/kpv | 54 additional sources are preserved row-by-row in the detail CSV,2026-07-28T01:57:22.714Z,unknown,"products.json returned HTTP 404 or non-catalog content | HTTP 200; expected a JSON array | fetch failed | No parseable public product offers found. | Prior UI state: blank. | No gate was accepted, no account was created, and no inventory was inferred."
alphaomegapeptide.com,126,142,1,75,1695,USD,142,0.9507,0,,0,,complete_public_woo_api,WooCommerce Store API,https://alphaomegapeptide.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://alphaomegapeptide.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://alphaomegapeptide.com/wp-json/wc/store/v1/products?per_page=100&page=2 | https://alphaomegapeptide.com/ | https://alphaomegapeptide.com/products.json?limit=250&page=1,2026-07-28T01:57:22.714Z,high,No exact public inventory quantity is exposed; quantity sum is blank.
americanpeptides.us,5,13,70,200,428,USD,13,0.8462,0,,2,RETATRUTIDE (RETA) [10 mg]: USD 105 | RETATRUTIDE (RETA) [20 mg]: USD 200 | RETATRUTIDE (RETA) [30 mg]: USD 240 | RETATRUTIDE (RETA) [48 mg]: USD 300 | RETATRUTIDE (RETA) [60 mg]: USD 400 | RETATRUTIDE + CAGRILINTIDE [12.5 mg / 2.5 mg]: USD 200,partial_public_html,Product JSON-LD,https://www.americanpeptides.us/products/retatrutide | https://www.americanpeptides.us/products/retatrutide-cagrilintide | https://www.americanpeptides.us/products/semaglutide | https://www.americanpeptides.us/products/tirzepatide | https://www.americanpeptides.us/products/selank-semax | https://americanpeptides.us/ | https://americanpeptides.us/products.json?limit=250&page=1 | https://americanpeptides.us/wp-json/wc/store/v1/products?per_page=100&page=1 | https://americanpeptides.us/sitemap.xml | https://americanpeptides.us/product-sitemap.xml | https://americanpeptides.us/wp-sitemap-posts-product-1.xml | https://americanpeptides.us/xmlsitemap.php,2026-07-28T01:57:22.714Z,low,Prior rendered UI state: research-confirmation-gate. Fields came only from the initial anonymous GET response; no gate was accepted and no form data was entered. | No exact public inventory quantity is exposed; quantity sum is blank.
aminoclub.com,,,,,,,,,,,0,,gated_or_account_walled_unknown,Anonymous public GET probes,https://www.aminoclub.com/age-verify?return=%2F | https://www.aminoclub.com/products.json?limit=250&page=1 | https://www.aminoclub.com/age-verify?return=%2Fwp-json%2Fwc%2Fstore%2Fv1%2Fproducts%3Fper_page%3D100%26page%3D1 | https://www.aminoclub.com/sitemap.xml | https://www.aminoclub.com/product-sitemap.xml | https://www.aminoclub.com/wp-sitemap-posts-product-1.xml | https://www.aminoclub.com/age-verify?return=%2Fxmlsitemap.php | https://www.aminoclub.com/age-verify?return=%2Fus%2Fproducts%2Fglp-3 | https://www.aminoclub.com/age-verify?return=%2Fus%2Fproducts%2Fbpc-157 | https://www.aminoclub.com/age-verify?return=%2Fus%2Fproducts%2Fghk-cu | https://www.aminoclub.com/age-verify?return=%2Fus%2Fproducts%2Ftesamorlin | https://www.aminoclub.com/age-verify?return=%2Fus%2Fproducts%2Ftb-500 | 33 additional sources are preserved row-by-row in the detail CSV,2026-07-28T01:57:22.714Z,unknown,"access gate or account wall | products.json returned HTTP 200 or non-catalog content | HTTP 200; expected a JSON array | No parseable public product offers found. | Prior UI state: researcher-verification-gate. | No gate was accepted, no account was created, and no inventory was inferred."
aminosequence.com,25,35,2,70,225,USD,35,1,0,,1,AS-3RT (10mg-50mg) [mg: 50mg]: USD 180 | AS-3RT (10mg-50mg) [mg: 10mg]: USD 85 | AS-3RT (10mg-50mg) [mg: 25mg]: USD 115,complete_public_woo_api,WooCommerce Store API | woocommerce_store_api_orphan_variation,https://aminosequence.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://aminosequence.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://aminosequence.com/ | https://aminosequence.com/products.json?limit=250&page=1,2026-07-28T01:57:22.714Z,high,No exact public inventory quantity is exposed; quantity sum is blank.
apollopeptidesciences.com,40,40,9.99,144.99,2479.99,USD,40,0.875,31,1190,8,GLP-3 R 15mg (Box of 10): USD 1207.99 | GLP-3 R 60mg (Box of 10): USD 2479.99 | GLP-3 R 30mg (Box of 10): USD 1687.99 | GLP-3 R 10mg (Box of 10): USD 1087.99 | GLP-3 R 60mg: USD 309.99 | GLP-3 R 30mg: USD 210.99 | GLP-3 R 15mg: USD 150.99 | GLP-3 R 10mg: USD 135.99,complete_public_woo_api,WooCommerce Store API,https://apollopeptidesciences.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://apollopeptidesciences.com/ | https://apollopeptidesciences.com/products.json?limit=250&page=1 | https://apollopeptidesciences.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T01:57:22.714Z,high,Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
arcticlabsupply.com,,,,,,,,,,,0,,gated_or_account_walled_unknown,Anonymous public GET probes,https://arcticlabsupply.com/ | https://arcticlabsupply.com/products.json?limit=250&page=1 | https://arcticlabsupply.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://arcticlabsupply.com/sitemap.xml | https://arcticlabsupply.com/product-sitemap.xml | https://arcticlabsupply.com/wp-sitemap-posts-product-1.xml | https://arcticlabsupply.com/xmlsitemap.php | https://arcticlabsupply.com/products/retatrutide-10mg,2026-07-28T01:57:22.714Z,unknown,"products.json returned HTTP 403 or non-catalog content | HTTP 200; expected a JSON array | No parseable public product offers found. | Prior UI state: research-gate. | No gate was accepted, no account was created, and no inventory was inferred."
