domain,product_count,variant_count,price_min,price_median,price_max,currency,visible_stock_records,visible_in_stock_rate,exact_quantity_records,exact_quantity_sum,reta_product_count,reta_options_prices,coverage,extraction_methods,source_urls,captured_at,confidence,caveat
licensedpeptides.com,91,346,0.45,321.95,2618.9,USD,346,1,2,6105,0,,complete_public_woo_api,WooCommerce Store API | woocommerce_store_api_orphan_variation,https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=2&type=variation | https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=3&type=variation | https://licensedpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://licensedpeptides.com/ | https://licensedpeptides.com/products.json?limit=250&page=1,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
lifelinkresearch.com,47,47,12,116,475,USD,47,1,47,1761,5,"Retatrutide (GLP-3) 20mg: USD 200 | Retatrutide (GLP-3)10mg: USD 123 | Cagri/Reta 10/10mg: USD 240 | MAXMORPH Kit (Retatrutide 15mg, 2x Tesamorelin 10mg) 5% Discount: USD 475 | Retatrutide (GLP-3) 15mg: USD 167",complete_public_woo_api,WooCommerce Store API,https://lifelinkresearch.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://lifelinkresearch.com/ | https://lifelinkresearch.com/products.json?limit=250&page=1 | https://lifelinkresearch.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T01:57:24.110Z,high,Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
limitlesslifenootropics.com,,,,,,,,,,,0,,gated_or_account_walled_unknown,Anonymous public GET probes,https://limitlesslifenootropics.com/ | https://limitlesslifenootropics.com/products.json?limit=250&page=1 | https://limitlesslifenootropics.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://limitlesslifenootropics.com/sitemap.xml | https://limitlesslifenootropics.com/product-sitemap.xml | https://limitlesslifenootropics.com/wp-sitemap-posts-product-1.xml | https://limitlesslifenootropics.com/xmlsitemap.php | https://limitlesslifenootropics.com/xmlsitemap.php?type=pages&page=1 | https://limitlesslifenootropics.com/xmlsitemap.php?type=products&page=1 | https://limitlesslifenootropics.com/xmlsitemap.php?type=categories&page=1 | https://limitlesslifenootropics.com/xmlsitemap.php?type=news&page=1 | https://limitlesslifenootropics.com/product/bpc-157-acetate/ | 89 additional sources are preserved row-by-row in the detail CSV,2026-07-28T01:57:24.110Z,unknown,"access gate or account wall | 91 product pages gated | products.json returned HTTP 404 or non-catalog content | HTTP 404; expected a JSON array | No parseable public product offers found. | Prior UI state: age-or-research-gate. | No gate was accepted, no account was created, and no inventory was inferred."
longevitypeptides.us,,,,,,,,,,,0,,gated_or_account_walled_unknown,Anonymous public GET probes,https://longevitypeptides.us/ | https://longevitypeptides.us/products.json?limit=250&page=1 | https://longevitypeptides.us/wp-json/wc/store/v1/products?per_page=100&page=1 | https://longevitypeptides.us/sitemap.xml | https://longevitypeptides.us/product-sitemap.xml | https://longevitypeptides.us/wp-sitemap-posts-product-1.xml | https://longevitypeptides.us/xmlsitemap.php,2026-07-28T01:57:24.110Z,unknown,"products.json returned HTTP 202 or non-catalog content | HTTP 202; expected a JSON array | No parseable public product offers found. | Prior UI state: browser-challenge. | No gate was accepted, no account was created, and no inventory was inferred."
lotilabs.com,91,93,1.99,49.99,389.99,USD,93,0.9785,0,,4,Buy Retatrutide 30mg Vial (Reta) — Research Grade | Loti Labs: USD 389.99 | Buy Retatrutide 10mg Vial (Reta) — Research Grade | Loti Labs [Retatrutide-10mg]: USD 199.99 | Buy Retatrutide 20mg Vial (Reta) — Research Grade | Loti Labs [Retatrutide-20mg]: USD 299.99 | Buy Retatrutide 5mg Vial (Reta) — Research Grade | Loti Labs [Retatrutide5mg]: USD 119.99,partial_public_html,Product JSON-LD,https://lotilabs.com/product/retatrutide-30mg/ | https://lotilabs.com/product/bam15-capsules-10mg-capsule-30-capsules/ | https://lotilabs.com/product/slu-pp-332-capsules-50mg-capsule-30-capsules-3/ | https://lotilabs.com/product/mk-677-capsules/ | https://lotilabs.com/product/rad-140-capsules/ | https://lotilabs.com/product/lgd-4033-capsules/ | https://lotilabs.com/product/travel-pouch-carrying-case/ | https://lotilabs.com/product/gw0742-capsules/ | https://lotilabs.com/product/epitalon-capsules/ | https://lotilabs.com/product/bpc-157-capsules/ | https://lotilabs.com/product/kpv-capsules/ | https://lotilabs.com/product/ghk-cu-capsules/ | 90 additional sources are preserved row-by-row in the detail CSV,2026-07-28T01:57:24.110Z,low,Prior rendered UI state: account-gate. Fields came only from the initial anonymous GET response; no gate was accepted and no form data was entered. | No exact public inventory quantity is exposed; quantity sum is blank.
luxaralabs.com,48,67,8,71.25,337.5,USD,67,0.9851,0,,1,Retatrutide [size: 40 mg]: USD 247.5 | Retatrutide [size: 60 mg]: USD 337.5 | Retatrutide [size: 30 mg]: USD 198.75 | Retatrutide [size: 20 mg]: USD 150 | Retatrutide [size: 10 mg]: USD 90,complete_public_woo_api,WooCommerce Store API,https://luxaralabs.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://luxaralabs.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://luxaralabs.com/ | https://luxaralabs.com/products.json?limit=250&page=1,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: age-or-research-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | No exact public inventory quantity is exposed; quantity sum is blank.
lvluphealth.com,,,,,,,,,,,0,,public_catalog_unresolved_unknown,Anonymous public GET probes,https://lvluphealth.com/ | https://lvluphealth.com/products.json?limit=250&page=1 | https://lvluphealth.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://lvluphealth.com/sitemap.xml | https://lvluphealth.com/product-sitemap.xml | https://lvluphealth.com/wp-sitemap-posts-product-1.xml | https://lvluphealth.com/xmlsitemap.php,2026-07-28T01:57:24.110Z,unknown,"products.json returned HTTP 429 or non-catalog content | HTTP 429; expected a JSON array | 1 product pages failed | No parseable public product offers found. | Prior UI state: storefront-fallback. | No gate was accepted, no account was created, and no inventory was inferred."
lyvpeptides.com,60,60,3,96.99,2997,USD,60,0.9,8,68,1,GLP-3 [LYV-RETA-12MG]: USD 289.99,complete_public_woo_api,WooCommerce Store API,https://lyvpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://www.lyvpeptides.com/ | https://www.lyvpeptides.com/products.json?limit=250&page=1 | https://lyvpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,2026-07-28T01:57:24.110Z,high,Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
matteprotocol.com,,,,,,,,,,,0,,gated_or_account_walled_unknown,Anonymous public GET probes,https://matteprotocol.com/ | https://matteprotocol.com/products.json?limit=250&page=1 | https://matteprotocol.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://matteprotocol.com/sitemap.xml | https://matteprotocol.com/product-sitemap.xml | https://matteprotocol.com/wp-sitemap-posts-product-1.xml | https://matteprotocol.com/xmlsitemap.php,2026-07-28T01:57:24.110Z,unknown,"products.json returned HTTP 202 or non-catalog content | HTTP 202; expected a JSON array | No parseable public product offers found. | Prior UI state: browser-challenge. | No gate was accepted, no account was created, and no inventory was inferred."
milehighcompounds.is,68,88,14.99,69.99,279.99,USD,88,0.8409,74,31779,0,,complete_public_woo_api,WooCommerce Store API,https://milehighcompounds.is/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://milehighcompounds.is/wp-json/wc/store/v1/products?per_page=100&page=1 | https://milehighcompounds.is/ | https://milehighcompounds.is/products.json?limit=250&page=1,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales.
myoasislabs.com,54,65,8.5,74.5,358,USD,65,0.9846,0,,1,GLP3(R) [Size:: 40mg]: USD 250.5 | GLP3(R) [Size:: 20mg]: USD 142 | GLP3(R) [Size:: 60mg]: USD 358 | GLP3(R) [Size:: 30mg]: USD 188 | GLP3(R) [Size:: 15mg]: USD 106.5 | GLP3(R) [Size:: 10mg]: USD 73.5 | GLP3(R) [Size:: 5mg]: USD 47,complete_public_woo_api,WooCommerce Store API,https://myoasislabs.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation | https://myoasislabs.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://myoasislabs.com/ | https://myoasislabs.com/products.json?limit=250&page=1,2026-07-28T01:57:24.110Z,high,Prior rendered UI state: age-or-research-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | No exact public inventory quantity is exposed; quantity sum is blank.
