domain,platform,status,product_count,variant_row_count,priced_rows,min_price,max_price,currency,stock_in_stock,out_of_stock,backorder,exact_quantity_rows,source_urls,extraction_methods,extracted_at_utc,confidence,caveat
spartalabs.net,Next.js custom,complete,12,28,28,30,225,USD,28,0,0,0,https://spartalabs.net/us/store,next_rsc_public_catalog_dose,2026-07-28T01:41:14.037Z,high,12 product objects and 28 dose variants were parsed from the public server-rendered store payload.
regentide.net,WooCommerce,complete,47,50,50,29.99,424.99,USD,50,0,0,3,https://regentide.net/wp-json/wc/store/v1/products?per_page=100&page=1 | https://regentide.net/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection,2026-07-28T01:41:14.037Z,high,Public Store API reported 47 catalog products; 47 unique parent products were captured.
quantapeptides.com,Next.js custom,complete,13,13,13,69.99,329.99,USD,5,8,0,13,https://www.quantapeptides.com/shop,next_rsc_public_catalog_product,2026-07-28T01:41:14.037Z,high,13 products parsed from the public shop payload; the rendered shop stated 13.
pspeptides.com,WooCommerce,complete,68,99,99,1.99,544.99,USD,94,5,0,0,https://pspeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://pspeptides.com/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection,2026-07-28T01:41:14.037Z,high,Public Store API reported 68 catalog products; 68 unique parent products were captured. No exact warehouse quantities were publicly exposed.
veloraresearch.com,WooCommerce,complete,17,20,20,12.99,170,USD,20,0,0,0,https://veloraresearch.com/wp-json/wc/store/v1/products?per_page=100&type=variation | https://veloraresearch.com/wp-json/wc/store/v1/products?per_page=100&page=1,woocommerce_store_api_variation_collection | woocommerce_store_api_product,2026-07-28T01:41:14.037Z,high,Public Store API reported 17 catalog products; 17 unique parent products were captured. No exact warehouse quantities were publicly exposed.
peptidescollective.com,WooCommerce,complete,39,51,51,0,260,USD,43,8,0,0,https://peptidescollective.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://peptidescollective.com/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection,2026-07-28T01:41:14.037Z,high,Public Store API reported 39 catalog products; 39 unique parent products were captured. No exact warehouse quantities were publicly exposed. 1 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
royal-peptides.com,WooCommerce,complete,133,281,281,0,1500,USD,250,26,5,2,https://royal-peptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://royal-peptides.com/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection | woocommerce_store_api_orphan_variation,2026-07-28T01:41:14.037Z,high,Public Store API reported 133 catalog products; 133 unique parent products were captured. 15 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 1 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
stratelabs.is,Next.js + WooCommerce backend,complete,48,56,56,9.99,339.95,USD,40,16,0,53,https://www.glpeptides.is/products | https://www.glpeptides.is/products/bpc-157-tb-500 | https://www.glpeptides.is/products/bpc-157 | https://www.glpeptides.is/products/reconstitution-kit | https://www.glpeptides.is/products/retatrutide | https://www.glpeptides.is/products/semaglutide | https://www.glpeptides.is/products/tb-500 | https://www.glpeptides.is/products/tirzepatide,next_rsc_public_woocommerce_product | next_rsc_public_woocommerce_variation,2026-07-28T01:41:14.037Z,high,The original domain redirected publicly to GL Peptides. 48 published products were parsed from the public server-rendered WooCommerce payload; 0 variation IDs remained unresolved.
rivnpeptides.com,WooCommerce,complete,42,54,54,0,259.99,USD,54,0,0,51,https://rivnpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://rivnpeptides.com/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection,2026-07-28T01:41:14.037Z,high,Public Store API reported 42 catalog products; 42 unique parent products were captured. 2 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
umbrellalabs.is,WooCommerce,complete,613,928,928,0,799.99,USD,772,156,0,103,https://umbrellalabs.is/wp-json/wc/store/v1/products?per_page=100&page=1 | https://umbrellalabs.is/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection | woocommerce_store_api_orphan_variation,2026-07-28T01:41:14.037Z,high,Public Store API reported 613 catalog products; 613 unique parent products were captured. 82 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 13 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
