domain,wave,domain_created,domain_age_days,domain_age_source,rank_observations,latest_rank,current_monthly_visits_model,trailing30_visits_model,traffic_basis_visits_model,traffic_confidence,aov_low,aov_base,aov_high,cvr_low,cvr_base,cvr_high,orders_base,gmv_low,gmv_base,gmv_high,price_clue,storefront_url,rank_source,caveat
adaptpeptides.com,A,2025-08-08,353,https://rdap.verisign.com/com/v1/domain/ADAPTPEPTIDES.COM,5,4085462,10291,1715,10291,low,100,175,250,1%,2%,3%,206,10291,36018,77182,11;12;13.5;17.8;39;89;135;180;200;205;220;299,https://adaptpeptides.com/product/retatrutide/,https://rank.to/api/?d=adaptpeptides.com&n=30,Only 5/30 ranked days observed; T30 integral treats absent days as unknown/zero and is a lower-bound model | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
advancedresearchpep.com,A,2023-05-17,1167,https://rdap.verisign.com/com/v1/domain/ADVANCEDRESEARCHPEP.COM,0,,,,,none,,,,1%,2%,3%,,,,,,https://advancedresearchpep.com/product/retatrutide/,https://rank.to/api/?d=advancedresearchpep.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | No machine-readable public price clue captured; AOV remains cohort assumption only
agelessvitalitypeptides.com,A,2025-05-08,445,https://rdap.verisign.com/com/v1/domain/AGELESSVITALITYPEPTIDES.COM,0,,,,,none,,,,1%,2%,3%,,,,,99;139;149;150,https://agelessvitalitypeptides.com/product/retatrutide-10mg/,https://rank.to/api/?d=agelessvitalitypeptides.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
alphacarbonlabs.com,A,2025-09-24,306,https://rdap.verisign.com/com/v1/domain/ALPHACARBONLABS.COM,0,,,,,none,,,,1%,2%,3%,,,,,100,https://alphacarbonlabs.com/,https://rank.to/api/?d=alphacarbonlabs.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
alphaomegapeptide.com,A,2024-06-08,779,https://rdap.verisign.com/com/v1/domain/ALPHAOMEGAPEPTIDE.COM,30,626519,73699,68916,68916,low-medium,100,175,250,1%,2%,3%,1378,68916,241206,516870,,https://alphaomegapeptide.com/,https://rank.to/api/?d=alphaomegapeptide.com&n=30,No machine-readable public price clue captured; AOV remains cohort assumption only
americanpeptides.us,A,2026-02-21,156,whois.nic.us,30,2593838,16581,12899,12899,low-medium,100,175,250,1%,2%,3%,258,12899,45146,96742,12;24;29;41;44;105;200;240;300;400,https://www.americanpeptides.us/products/retatrutide,https://rank.to/api/?d=americanpeptides.us&n=30,Price clues are raw values parsed from a public page and may include variants/catalog/promotions
aminoclub.com,A,2019-05-12,2633,https://rdap.verisign.com/com/v1/domain/AMINOCLUB.COM,30,335171,142139,133980,133980,low-medium,100,175,250,1%,2%,3%,2680,133980,468930,1004850,12;20;30;31;32;33;34,https://www.aminoclub.com/age-verify?return=%2F,https://rank.to/api/?d=aminoclub.com&n=30,Price clues are raw values parsed from a public page and may include variants/catalog/promotions
aminosequence.com,A,2023-11-19,981,https://rdap.verisign.com/com/v1/domain/AMINOSEQUENCE.COM,0,,,,,none,,,,1%,2%,3%,,,,,,https://aminosequence.com/products/,https://rank.to/api/?d=aminosequence.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | No machine-readable public price clue captured; AOV remains cohort assumption only
apollopeptidesciences.com,A,2024-04-13,835,https://rdap.verisign.com/com/v1/domain/APOLLOPEPTIDESCIENCES.COM,0,,,,,none,,,,1%,2%,3%,,,,,135.99;150.99;200;210.99;1207.99,https://apollopeptidesciences.com/product/glp-3-r-30mg/,https://rank.to/api/?d=apollopeptidesciences.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
arcticlabsupply.com,A,2025-10-30,270,https://rdap.verisign.com/com/v1/domain/ARCTICLABSUPPLY.COM,22,4144922,10136,7372,10136,low,100,175,250,1%,2%,3%,203,10136,35476,76020,149;250,https://arcticlabsupply.com/products/retatrutide-10mg,https://rank.to/api/?d=arcticlabsupply.com&n=30,Only 22/30 ranked days observed; T30 integral treats absent days as unknown/zero and is a lower-bound model | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
ascendingpeptides.co,A,2026-04-04,114,whois.registry.co,0,,,,,none,,,,1%,2%,3%,,,,,30;45;48;68,https://ascendingpeptides.co/products/retatrutide,https://rank.to/api/?d=ascendingpeptides.co&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
