domain,domain_created_utc,domain_age_days_asof_2026_07_27,domain_age_months_approx,domain_age_source,rankto_panel_status,rankto_history_observations,rankto_history_first_date,rankto_history_latest_date,rankto_current_rank,rankto_current_monthly_visit_pace_model,rankto_integrated_t30_visits_model,rankto_history_30d,traffic_basis_for_revenue,traffic_basis_visits_model,platform_observed,price_clue_source,price_source_url,price_min_usd,price_median_unique_usd,price_max_usd,aov_low_model_usd,aov_base_model_usd,aov_high_model_usd,conversion_low_model,conversion_base_model,conversion_high_model,monthly_gmv_low_model_usd,monthly_gmv_base_model_usd,monthly_gmv_high_model_usd,storefront_evidence_notes,rankto_source_url,storefront_url,disclaimer
spartalabs.net,2026-01-28T23:17:51Z,179,5.9,https://rdap.verisign.com/net/v1/domain/spartalabs.net,no_history,0,,,,,,,not estimable: no Rank.to panel history (not evidence of zero traffic),,unknown,none,,,,,120,175,230,1%,2%,3%,,,,Direct product page exists; homepage dollar tokens were not reliable catalog prices.,https://rank.to/api/?d=spartalabs.net&n=30,https://spartalabs.net/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
regentide.net,2025-09-26T01:05:34Z,303,10.0,https://rdap.verisign.com/net/v1/domain/regentide.net,no_history,0,,,,,,,not estimable: no Rank.to panel history (not evidence of zero traffic),,woocommerce,homepage_visible_prices,https://regentide.net/,49.99,150.0,639.99,120,175,230,1%,2%,3%,,,,Free shipping over $150.,https://rank.to/api/?d=regentide.net&n=30,https://regentide.net/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
quantapeptides.com,2026-06-07T05:43:56Z,49,1.6,https://rdap.verisign.com/com/v1/domain/quantapeptides.com,no_history,0,,,,,,,not estimable: no Rank.to panel history (not evidence of zero traffic),,custom_or_unknown,homepage_visible_prices,https://quantapeptides.com/,16.0,34.0,250.0,120,175,230,1%,2%,3%,,,,Homepage tokens mix product prices/strengths; free shipping over $250; low price-confidence.,https://rank.to/api/?d=quantapeptides.com&n=30,https://quantapeptides.com/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
pspeptides.com,2025-11-10T23:46:19Z,258,8.5,https://rdap.verisign.com/com/v1/domain/pspeptides.com,available,14,2026-07-13,2026-07-26,3286109,12934,5791,2026-07-13:4074115;2026-07-14:3819113;2026-07-15:3658067;2026-07-16:3581905;2026-07-17:3436093;2026-07-18:3370959;2026-07-19:3282477;2026-07-20:3299779;2026-07-21:3302930;2026-07-22:3239652;2026-07-23:3245671;2026-07-24:3248140;2026-07-25:3242887;2026-07-26:3286109,current monthly pace; Rank.to history partial,12934,woocommerce,woo_store_api,https://pspeptides.com/wp-json/wc/store/v1/products?per_page=100,3.99,49.49,544.99,85,120,155,1%,2%,3%,10994,31041,60142,Free-shipping messaging includes any-order and over-$200 variants; 5% promotion.,https://rank.to/api/?d=pspeptides.com&n=30,https://pspeptides.com/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
veloraresearch.com,2025-09-11T04:37:57Z,318,10.4,https://rdap.verisign.com/com/v1/domain/veloraresearch.com,no_history,0,,,,,,,not estimable: no Rank.to panel history (not evidence of zero traffic),,woocommerce,woo_store_api,https://veloraresearch.com/wp-json/wc/store/v1/products?per_page=100,12.99,70.0,120.0,100,140,180,1%,2%,3%,,,,Free shipping over $200.,https://rank.to/api/?d=veloraresearch.com&n=30,https://veloraresearch.com/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
peptidescollective.com,2025-06-16T01:39:15Z,405,13.3,https://rdap.verisign.com/com/v1/domain/peptidescollective.com,no_history,0,,,,,,,not estimable: no Rank.to panel history (not evidence of zero traffic),,woocommerce,woo_store_api,https://peptidescollective.com/wp-json/wc/store/v1/products?per_page=100,17.99,53.1,95.0,85,120,155,1%,2%,3%,,,,30% first-order offer; free shipping over $250.,https://rank.to/api/?d=peptidescollective.com&n=30,https://peptidescollective.com/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
royal-peptides.com,2024-08-20T16:12:25Z,705,23.2,https://rdap.verisign.com/com/v1/domain/royal-peptides.com,no_history,0,,,,,,,not estimable: no Rank.to panel history (not evidence of zero traffic),,woocommerce,woo_store_api,https://royal-peptides.com/wp-json/wc/store/v1/products?per_page=100,25.0,375.0,875.0,175,250,325,1%,2%,3%,,,,Catalog has high-priced multi-unit/bundle entries; median unique price is not basket AOV.,https://rank.to/api/?d=royal-peptides.com&n=30,https://royal-peptides.com/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
stratelabs.is,2026-07-10T15:40:01+00:00,16,0.5,https://rdap.isnic.is/rdap/domain/stratelabs.is,available,30,2026-06-27,2026-07-26,1290425,34512,55017,2026-06-27:631213;2026-06-28:636645;2026-06-29:642196;2026-06-30:647870;2026-07-01:657965;2026-07-02:666823;2026-07-03:677616;2026-07-04:689750;2026-07-05:697285;2026-07-06:711153;2026-07-07:723518;2026-07-08:728577;2026-07-09:737419;2026-07-10:860798;2026-07-11:860538;2026-07-12:860301;2026-07-13:860967;2026-07-14:898360;2026-07-15:917545;2026-07-16:939333;2026-07-17:961408;2026-07-18:984980;2026-07-19:1015872;2026-07-20:1043801;2026-07-21:1072342;2026-07-22:1103735;2026-07-23:1139799;2026-07-24:1176849;2026-07-25:1250652;2026-07-26:1290425,integrated trailing-30-day model,55017,woocommerce,homepage_visible_prices,https://stratelabs.is/,4.0,69.99,339.95,120,175,230,1%,2%,3%,66020,192559,379615,Homepage-price extraction only; cohort AOV used. Rank history begins 13 days before the current .is registration date; likely inherited/re-registration signal and especially unreliable.,https://rank.to/api/?d=stratelabs.is&n=30,https://stratelabs.is/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
rivnpeptides.com,2026-01-21T22:44:31Z,186,6.1,https://rdap.verisign.com/com/v1/domain/rivnpeptides.com,no_history,0,,,,,,,not estimable: no Rank.to panel history (not evidence of zero traffic),,woocommerce,woo_store_api,https://rivnpeptides.com/wp-json/wc/store/v1/products?per_page=100,14.99,59.99,199.99,85,120,155,1%,2%,3%,,,,Free shipping threshold messaging around $150; free BAC-water promotion.,https://rank.to/api/?d=rivnpeptides.com&n=30,https://rivnpeptides.com/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
umbrellalabs.is,2020-02-12T22:25:01+00:00,2356,77.4,https://rdap.isnic.is/rdap/domain/umbrellalabs.is,available,30,2026-06-27,2026-07-26,504240,92571,95119,2026-06-27:500082;2026-06-28:500315;2026-06-29:500580;2026-06-30:501006;2026-07-01:499394;2026-07-02:499694;2026-07-03:494594;2026-07-04:490704;2026-07-05:490253;2026-07-06:490188;2026-07-07:486862;2026-07-08:486156;2026-07-09:485836;2026-07-10:483631;2026-07-11:483417;2026-07-12:483393;2026-07-13:483254;2026-07-14:483006;2026-07-15:483339;2026-07-16:483149;2026-07-17:483448;2026-07-18:484231;2026-07-19:485741;2026-07-20:491742;2026-07-21:493280;2026-07-22:494960;2026-07-23:496885;2026-07-24:498564;2026-07-25:502197;2026-07-26:504240,integrated trailing-30-day model,95119,woocommerce,woo_store_api,https://umbrellalabs.is/wp-json/wc/store/v1/products?per_page=100,19.99,96.99,799.99,135,195,255,1%,2%,3%,128411,370965,727662,Free shipping plus visible 10%-20% offers.,https://rank.to/api/?d=umbrellalabs.is&n=30,https://umbrellalabs.is/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
riptidewellness.com,2014-04-08T22:36:01Z,4492,147.6,https://rdap.verisign.com/com/v1/domain/riptidewellness.com,no_history,0,,,,,,,not estimable: no Rank.to panel history (not evidence of zero traffic),,woocommerce,woo_store_api,https://riptidewellness.com/wp-json/wc/store/v1/products?per_page=100,10.0,78.6,3458.82,110,155,200,1%,2%,3%,,,,Free shipping over $150; maximum includes very large bundle/outlier.,https://rank.to/api/?d=riptidewellness.com&n=30,https://riptidewellness.com/,"Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic."
